Sales record number,Order number,Buyer username,Buyer postcode,Item number,Item title,Sold via Promoted listings,Quantity,Sold for,Sale date,Brand,Discount_Percentage,Product_Category,Product_Size,Unit_Size,Pack_Count,Total_Size,Is_Multipack,Total_Units
6062.0,02-11697-85186,user_fb7071bb,DY10,item_c5c0adf470,Kojie San Soap 135g x 2 (Double Pack) - Skin Brightening & Lightening,No,1.0,£7.59,09-Jul-24,Kojie San,0,Soap,135grams,135g,2,270g,True,2.0
6095.0,21-11688-35962,user_cfb173e5,DE23,item_eacd302425,Kojie San Soap 100g x 3 (Large Trio Pack) - Skin Brightening & Lightening,Yes,1.0,£8.17,11-Jul-24,Kojie San,0,Soap,100grams,100g,3,300g,True,3.0
4504.0,22-11277-32971,user_711e970d,DL9,item_0a0d6e1866,Johnson's SUMMER SWING Baby Cologne 125ml,Yes,1.0,£7.49,03-Apr-24,Other,0,Cologne,125ml,125ml,1,125ml,False,1.0
9312.0,25-12714-86351,user_5d503f1f,RM3,item_e66dec75b7,Kojie San Dream White Kojic Acid Soap 135g x 2 (Double Pack) - Skin Brightening,No,2.0,£7.78,18-Mar-25,Kojie San,10,Soap,135grams,135g,2,270g,True,4.0
9317.0,13-12730-17041,user_ac605fd5,NE6,item_812f83cac0,Kojie San Soap 65g x 3 (Triple Pack) - Skin Brightening & Lightening,No,3.0,£6.02,18-Mar-25,Kojie San,15,Soap,65grams,65g,3,195g,True,9.0
9109.0,15-12630-34506,user_79ada885,PA9,item_e1fbc0b510,Bench Daily Scent SUNDAY MORNING Cologne 125ml,No,2.0,£6.49,23-Feb-25,Other,10,Cologne,125ml,125ml,1,125ml,False,2.0
1940.0,20-10498-19226,user_201e2811,M6,item_812f83cac0,Kojie San Soap 65g x 3 (Triple Pack) - Skin Brightening & Lightening,No,1.0,£6.67,01-Oct-23,Kojie San,0,Soap,65grams,65g,3,195g,True,3.0
2611.0,19-10677-95008,user_6601a9bf,M24,item_812f83cac0,Kojie San Soap 65g x 3 (Triple Pack) - Skin Brightening & Lightening,Yes,1.0,£6.56,15-Nov-23,Kojie San,0,Soap,65grams,65g,3,195g,True,3.0
8929.0,18-12552-87410,user_165dc551,BT71,item_e66dec75b7,Kojie San Body Lotion 200g - Lightening & Brightening with Hydromoist,No,1.0,£12.23,05-Feb-25,Kojie San,0,Lotion,200grams,200g,1,200g,False,1.0
5739.0,01-11625-73051,user_ba132f29,LE28AB,item_c32affdad0,Extract Papaya Calamansi Soap 125g - Philippines - Lightening & Brightening,Yes,2.0,£6.07,21-Jun-24,Extract,10,Soap,125grams,125g,1,125g,False,2.0
6221.0,07-11731-52456,user_39ea6601,RH2,item_1860d98fea,Flawlessly U Kojic & Glutathione 65g x 2 Soap - Philippines - Skin Brightening,Yes,2.0,£6.63,18-Jul-24,Other,10,Soap,65grams,65g,2,130g,True,4.0
1554.0,15-10389-93475,user_b91ebf97,LS9,item_7a8580cf2e,Kojie San Soap Skin Lightening & Brightening - 65gx2/65gx3/135g/135gx2/100gx3[65g x 2],No,1.0,£6.08,04-Sep-23,Kojie San,0,Soap,135grams,65g,2,130g,True,2.0
